Year:year,Country:text,Oil:number,sector:text,Coal and lignite:number,obsValue:number,Natural and derived gas:number,Nuclear:number,Renewables:number,Other fuels:number,Total:number
1990,Austria,,Other fuels,,1.1,,,,,
1990,Belgium,,Other fuels,,1.1,,,,,
1990,Bulgaria,,Other fuels,,0.0,,,,,
1990,Croatia,,Other fuels,,0.0,,,,,
1990,Cyprus,,Other fuels,,0.0,,,,,
1990,Czech Republic,,Other fuels,,0.3,,,,,
1990,Denmark,,Other fuels,,0.0,,,,,
1990,Estonia,,Other fuels,,14.7,,,,,
1990,European Union (current composition),,Other fuels,,38.7,,,,,
1990,Finland,,Other fuels,,0.0,,,,,
1990,France,,Other fuels,,3.8,,,,,
1990,Germany,,Other fuels,,6.0,,,,,
1990,Greece,,Other fuels,,0.2,,,,,
1990,Hungary,,Other fuels,,0.0,,,,,
1990,Ireland,,Other fuels,,0.3,,,,,
1990,Italy,,Other fuels,,3.5,,,,,
1990,Latvia,,Other fuels,,0.0,,,,,
1990,Lithuania,,Other fuels,,0.0,,,,,
1990,Luxembourg,,Other fuels,,0.8,,,,,
1990,Malta,,Other fuels,,0.0,,,,,
1990,Netherlands,,Other fuels,,0.6,,,,,
1990,Poland,,Other fuels,,2.1,,,,,
1990,Portugal,,Other fuels,,0.2,,,,,
1990,Romania,,Other fuels,,0.0,,,,,
1990,Slovakia,,Other fuels,,0.6,,,,,
1990,Slovenia,,Other fuels,,0.0,,,,,
1990,Spain,,Other fuels,,0.8,,,,,
1990,Sweden,,Other fuels,,0.6,,,,,
1990,United Kingdom,,Other fuels,,2.1,,,,,
1991,Austria,,Other fuels,,1.4,,,,,
1991,Belgium,,Other fuels,,1.3,,,,,
1991,Bulgaria,,Other fuels,,0.0,,,,,
1991,Croatia,,Other fuels,,0.0,,,,,
1991,Cyprus,,Other fuels,,0.0,,,,,
1991,Czech Republic,,Other fuels,,0.2,,,,,
1991,Denmark,,Other fuels,,0.1,,,,,
1991,Estonia,,Other fuels,,12.3,,,,,
1991,European Union (current composition),,Other fuels,,38.4,,,,,
1991,Finland,,Other fuels,,0.0,,,,,
1991,France,,Other fuels,,4.2,,,,,
1991,Germany,,Other fuels,,7.7,,,,,
1991,Greece,,Other fuels,,0.1,,,,,
1991,Hungary,,Other fuels,,0.0,,,,,
1991,Ireland,,Other fuels,,0.2,,,,,
1991,Italy,,Other fuels,,3.5,,,,,
1991,Latvia,,Other fuels,,0.0,,,,,
1991,Lithuania,,Other fuels,,0.0,,,,,
1991,Luxembourg,,Other fuels,,0.7,,,,,
1991,Malta,,Other fuels,,0.0,,,,,
1991,Netherlands,,Other fuels,,0.6,,,,,
1991,Poland,,Other fuels,,2.3,,,,,
1991,Portugal,,Other fuels,,0.1,,,,,
1991,Romania,,Other fuels,,0.0,,,,,
1991,Slovakia,,Other fuels,,0.5,,,,,
1991,Slovenia,,Other fuels,,0.0,,,,,
1991,Spain,,Other fuels,,1.2,,,,,
1991,Sweden,,Other fuels,,0.5,,,,,
1991,United Kingdom,,Other fuels,,1.6,,,,,
1992,Austria,,Other fuels,,1.3,,,,,
1992,Belgium,,Other fuels,,1.4,,,,,
1992,Bulgaria,,Other fuels,,0.0,,,,,
1992,Croatia,,Other fuels,,0.0,,,,,
1992,Cyprus,,Other fuels,,0.0,,,,,
1992,Czech Republic,,Other fuels,,0.2,,,,,
1992,Denmark,,Other fuels,,0.1,,,,,
1992,Estonia,,Other fuels,,10.9,,,,,
1992,European Union (current composition),,Other fuels,,39.8,,,,,
1992,Finland,,Other fuels,,0.0,,,,,
1992,France,,Other fuels,,3.9,,,,,
1992,Germany,,Other fuels,,8.0,,,,,
1992,Greece,,Other fuels,,0.3,,,,,
1992,Hungary,,Other fuels,,0.0,,,,,
1992,Ireland,,Other fuels,,0.2,,,,,
1992,Italy,,Other fuels,,4.0,,,,,
1992,Latvia,,Other fuels,,0.0,,,,,
1992,Lithuania,,Other fuels,,0.2,,,,,
1992,Luxembourg,,Other fuels,,0.6,,,,,
1992,Malta,,Other fuels,,0.0,,,,,
1992,Netherlands,,Other fuels,,0.6,,,,,
1992,Poland,,Other fuels,,2.4,,,,,
1992,Portugal,,Other fuels,,0.5,,,,,
1992,Romania,,Other fuels,,0.2,,,,,
1992,Slovakia,,Other fuels,,0.4,,,,,
1992,Slovenia,,Other fuels,,0.0,,,,,
1992,Spain,,Other fuels,,2.2,,,,,
1992,Sweden,,Other fuels,,0.6,,,,,
1992,United Kingdom,,Other fuels,,1.8,,,,,
1993,Austria,,Other fuels,,1.1,,,,,
1993,Belgium,,Other fuels,,1.4,,,,,
1993,Bulgaria,,Other fuels,,0.0,,,,,
1993,Croatia,,Other fuels,,0.0,,,,,
1993,Cyprus,,Other fuels,,0.0,,,,,
1993,Czech Republic,,Other fuels,,0.2,,,,,
1993,Denmark,,Other fuels,,0.2,,,,,
1993,Estonia,,Other fuels,,8.3,,,,,
1993,European Union (current composition),,Other fuels,,34.9,,,,,
1993,Finland,,Other fuels,,0.0,,,,,
1993,France,,Other fuels,,3.3,,,,,
1993,Germany,,Other fuels,,8.0,,,,,
1993,Greece,,Other fuels,,0.4,,,,,
1993,Hungary,,Other fuels,,0.0,,,,,
1993,Ireland,,Other fuels,,0.2,,,,,
1993,Italy,,Other fuels,,3.5,,,,,
1993,Latvia,,Other fuels,,0.0,,,,,
1993,Lithuania,,Other fuels,,0.2,,,,,
1993,Luxembourg,,Other fuels,,0.4,,,,,
1993,Malta,,Other fuels,,0.0,,,,,
1993,Netherlands,,Other fuels,,0.7,,,,,
1993,Poland,,Other fuels,,2.4,,,,,
1993,Portugal,,Other fuels,,0.2,,,,,
1993,Romania,,Other fuels,,0.2,,,,,
1993,Slovakia,,Other fuels,,0.4,,,,,
1993,Slovenia,,Other fuels,,0.0,,,,,
1993,Spain,,Other fuels,,1.5,,,,,
1993,Sweden,,Other fuels,,0.6,,,,,
1993,United Kingdom,,Other fuels,,1.6,,,,,
1994,Austria,,Other fuels,,1.1,,,,,
1994,Belgium,,Other fuels,,1.5,,,,,
1994,Bulgaria,,Other fuels,,0.0,,,,,
1994,Croatia,,Other fuels,,0.0,,,,,
1994,Cyprus,,Other fuels,,0.0,,,,,
