name,gppd_idnr,country,year,co2_emissions_tonne,capacity_mw,primary_fuel,generation_gwh,commissioning_year,latitude,longitude,unit_count
KW Hafen,WRI1005901,Germany,2015,1447350.0,300.0,Fossil Hard coal,1621.4690000000003,,53.202,8.516,1
KW Hafen,WRI1005901,Germany,2016,1369630.0,300.0,Fossil Hard coal,1534.4000000000003,,53.202,8.516,1
KW Hafen,WRI1005901,Germany,2017,1498930.0,300.0,Fossil Hard coal,1679.2580000000005,,53.202,8.516,1
KW Hafen,WRI1005901,Germany,2018,1118130.0,300.0,Fossil Hard coal,1252.6500000000003,,53.202,8.516,1
KW Hastedt,WRI1005903,Germany,2015,781362.0,119.0,Fossil Hard coal,763.1370000000002,,53.059,8.873,1
KW Hastedt,WRI1005903,Germany,2016,719493.0,119.0,Fossil Hard coal,702.7110000000001,,53.059,8.873,1
KW Hastedt,WRI1005903,Germany,2017,804981.0,119.0,Fossil Hard coal,786.2050000000002,,53.059,8.873,1
KW Hastedt,WRI1005903,Germany,2018,710627.0,119.0,Fossil Hard coal,694.0510000000002,,53.059,8.873,1
KW Mittelsbueren,WRI1005912,Germany,2015,537608.0,176.0,Fossil Gas,960.0140000000002,,53.129,8.686,1
KW Mittelsbueren,WRI1005912,Germany,2016,598434.0,176.0,Fossil Gas,1068.6320000000003,,53.129,8.686,1
KW Mittelsbueren,WRI1005912,Germany,2017,479739.0,176.0,Fossil Gas,856.6770000000002,,53.129,8.686,1
KW Mittelsbueren,WRI1005912,Germany,2018,522178.0,176.0,Fossil Gas,932.4610000000002,,53.129,8.686,1
Brokdorf,WRI1005621,Germany,2015,0.0,1410.0,Nuclear,10516.481000000003,1986.0,53.851000000000006,9.345,1
Brokdorf,WRI1005621,Germany,2016,0.0,1410.0,Nuclear,10939.383000000003,1986.0,53.851000000000006,9.345,1
Brokdorf,WRI1005621,Germany,2017,0.0,1410.0,Nuclear,5480.324000000001,1986.0,53.851000000000006,9.345,1
Brokdorf,WRI1005621,Germany,2018,0.0,1410.0,Nuclear,9838.016000000001,1986.0,53.851000000000006,9.345,1
Burghausen_GT,,Germany,2015,568618.0,120.0,Fossil Gas,958.9790000000003,,48.181999999999995,12.85,1
Burghausen_GT,,Germany,2016,339751.0,120.0,Fossil Gas,572.9920000000002,,48.181999999999995,12.85,1
Burghausen_GT,,Germany,2017,136516.0,120.0,Fossil Gas,230.23600000000005,,48.181999999999995,12.85,1
Burghausen_GT,,Germany,2018,137018.0,120.0,Fossil Gas,231.08200000000005,,48.181999999999995,12.85,1
Kraftwerk Buschhaus,WRI1005623,Germany,2015,2298350.0,352.0,Fossil Brown coal/Lignite,2128.1000000000004,1985.0,52.16,10.967,1
Kraftwerk Buschhaus,WRI1005623,Germany,2016,1846560.0,352.0,Fossil Brown coal/Lignite,1709.7760000000003,1985.0,52.16,10.967,1
Kraftwerk Buschhaus,WRI1005623,Germany,2017,0.0,352.0,Fossil Brown coal/Lignite,0.0,1985.0,52.16,10.967,1
Kraftwerk Buschhaus,WRI1005623,Germany,2018,0.0,352.0,Fossil Brown coal/Lignite,0.0,1985.0,52.16,10.967,1
Kraftwerk Farge,WRI1005676,Germany,2015,1884410.0,350.0,Fossil Hard coal,1732.1940000000004,,53.203,8.517999999999999,1
Kraftwerk Farge,WRI1005676,Germany,2016,1210180.0,350.0,Fossil Hard coal,1112.4220000000003,,53.203,8.517999999999999,1
Kraftwerk Farge,WRI1005676,Germany,2017,1588310.0,350.0,Fossil Hard coal,1460.0070000000003,,53.203,8.517999999999999,1
